HOUSEID,HHSTATE
30000007,NC
30000007,NC
30000007,NC
30000008,WI
30000008,WI
30000012,NY
30000019,MD
30000019,MD
30000029,WI
30000029,WI
30000039,PA
30000039,PA
30000041,CA
30000041,CA
30000062,TX
30000062,TX
30000082,NY
30000082,NY
30000085,CA
30000089,TX
30000089,TX
30000094,CA
30000095,WI
30000107,TX
30000107,TX
30000128,ME
30000128,ME
30000130,NY
30000130,NY
30000137,WI
30000137,WI
30000137,WI
30000144,TX
30000144,TX
30000144,TX
30000145,TX
30000145,TX
30000155,CA
30000161,TX
30000161,TX
30000161,TX
30000167,AZ
30000194,WA
30000194,WA
30000194,WA
30000194,WA
30000194,WA
30000194,WA
30000227,CA
30000227,CA
30000230,TN
30000242,AL
30000262,TX
30000262,TX
30000265,NC
30000266,IL
30000271,WI
30000288,TX
30000289,NC
30000289,NC
30000289,NC
30000301,WI
30000301,WI
30000302,TX
30000302,TX
30000302,TX
30000308,WI
30000309,TX
30000309,TX
30000312,KY
30000312,KY
30000312,KY
30000328,CA
30000328,CA
30000341,TX
30000341,TX
30000341,TX
30000380,NY
30000380,NY
30000380,NY
30000400,CA
30000400,CA
30000401,MT
30000401,MT
30000402,NC
30000402,NC
30000428,TX
30000434,NY
30000434,NY
30000436,NY
30000436,NY
30000439,NY
30000439,NY
30000439,NY
30000439,NY
30000447,IA
30000447,IA
30000449,GA
30000450,CA
30000451,TX
30000451,TX
30000456,TX
30000463,TX
30000463,TX
30000465,GA
30000465,GA
30000465,GA
30000465,GA
30000473,NY
30000478,GA
30000478,GA
30000482,CA
30000492,ME
30000492,ME
30000496,NY
30000496,NY
30000503,NY
30000503,NY
30000518,TX
30000518,TX
30000526,WI
30000539,WI
30000540,CA
30000540,CA
30000540,CA
30000545,CA
30000545,CA
30000564,VA
30000580,NC
30000582,TX
30000582,TX
30000586,TX
30000611,SC
30000616,CO
30000616,CO
30000622,WI
30000646,NC
30000709,WI
30000710,TX
30000710,TX
30000722,NY
30000736,WI
30000763,TX
30000770,CA
30000771,WI
30000771,WI
30000775,TX
30000775,TX
30000784,TX
30000814,TX
30000814,TX
30000814,TX
30000817,NY
30000828,TX
30000835,NY
30000835,NY
30000840,WA
30000840,WA
30000840,WA
30000843,CA
30000843,CA
30000847,SC
30000847,SC
30000847,SC
30000850,GA
30000854,NY
30000854,NY
30000855,MD
30000855,MD
30000855,MD
30000860,WA
30000860,WA
30000885,SC
30000885,SC
30000898,TX
30000898,TX
30000900,WV
30000900,WV
30000922,CA
30000922,CA
30000931,FL
30000931,FL
30000934,NH
30000934,NH
30000934,NH
30000946,MN
30000946,MN
30000960,TX
30000960,TX
30000983,CA
30000983,CA
30000983,CA
30000983,CA
30000990,NY
30000990,NY
30000990,NY
30000990,NY
30000991,TX
30000991,TX
30000993,WI
30000993,WI
30001002,TX
30001002,TX
30001005,CA
30001008,MD
30001011,NY
30001011,NY
30001013,CA
30001015,NE
30001015,NE
30001031,WI
30001031,WI
30001039,NY
30001053,NY
30001053,NY
30001054,TX
30001054,TX
30001057,AR
30001057,AR
30001057,AR
30001057,AR
30001064,TX
30001064,TX
30001064,TX
30001066,NY
30001066,NY
30001066,NY
30001066,NY
30001067,NC
30001073,GA
30001088,NC
30001088,NC
30001090,WI
30001090,WI
30001095,CA
30001095,CA
30001099,TX
30001099,TX
30001099,TX
30001109,GA
30001109,GA
30001117,NC
30001117,NC
30001121,SC
30001121,SC
30001124,TX
30001124,TX
30001124,TX
30001127,WI
30001127,WI
30001151,WI
30001152,CA
30001152,CA
30001152,CA
30001177,CA
30001177,CA
30001184,SC
30001184,SC
30001215,NY
30001215,NY
30001219,IA
30001225,TX
30001225,TX
30001249,GA
30001249,GA
30001250,WA
30001262,NJ
30001262,NJ
30001270,TX
30001270,TX
30001272,TX
30001272,TX
30001280,CA
30001280,CA
30001286,CA
30001286,CA
30001286,CA
30001295,TX
30001301,TX
30001301,TX
30001303,CA
30001303,CA
30001318,SD
30001318,SD
30001344,CA
30001349,NY
30001349,NY
30001349,NY
30001360,SC
30001360,SC
30001361,TX
30001381,NY
30001381,NY
30001384,CA
30001384,CA
30001394,CA
30001394,CA
30001396,NY
30001396,NY
30001400,NY
30001400,NY
30001409,IL
30001409,IL
30001418,GA
30001418,GA
30001424,NM
30001424,NM
30001426,NY
30001426,NY
30001430,WI
30001430,WI
30001438,AZ
30001438,AZ
30001442,TX
30001442,TX
30001443,CA
30001447,TX
30001447,TX
30001447,TX
30001447,TX
30001447,TX
30001453,WI
30001453,WI
30001456,NY
30001460,MD
30001460,MD
30001460,MD
30001460,MD
30001473,WI
30001473,WI
30001475,NY
30001482,TX
30001482,TX
30001485,NY
30001487,NY
30001496,SC
30001506,TX
30001506,TX
30001511,NY
30001511,NY
30001519,MD
30001519,MD
30001519,MD
30001526,SC
30001535,CA
30001535,CA
30001535,CA
30001535,CA
30001545,CA
30001545,CA
30001545,CA
30001545,CA
30001549,FL
30001556,TX
30001556,TX
30001563,IA
30001572,NC
30001572,NC
30001575,WI
30001583,WI
30001593,CA
30001593,CA
30001601,NC
30001601,NC
30001606,SC
30001606,SC
30001608,GA
30001608,GA
30001611,IA
30001611,IA
30001616,NC
30001625,NY
30001627,NC
30001627,NC
30001629,FL
30001629,FL
30001639,WI
30001639,WI
30001645,WI
30001645,WI
30001646,TX
30001654,TX
30001654,TX
30001655,TX
30001655,TX
30001655,TX
30001655,TX
30001659,CA
30001685,VA
30001707,TX
30001713,TX
30001713,TX
30001713,TX
30001713,TX
30001748,NC
30001755,GA
30001755,GA
30001757,CA
30001765,WI
30001765,WI
30001765,WI
30001768,WI
30001768,WI
30001770,MN
30001774,GA
30001785,CA
30001785,CA
30001794,CA
30001794,CA
30001800,SC
30001800,SC
30001811,AZ
30001811,AZ
30001828,CA
30001828,CA
30001828,CA
30001828,CA
30001828,CA
30001828,CA
30001832,NC
30001832,NC
30001852,CA
30001852,CA
30001860,GA
30001860,GA
30001865,TX
30001865,TX
30001865,TX
30001865,TX
30001886,WI
30001888,CA
30001888,CA
30001888,CA
30001892,AZ
30001906,NY
30001906,NY
30001915,NY
30001915,NY
30001917,IL
30001917,IL
30001938,IL
30001940,MT
30001941,GA
30001947,TX
30001947,TX
30001949,TX
30001949,TX
30001951,CA
30001954,OK
30001954,OK
30001956,CA
30001956,CA
30001977,NC
30001977,NC
30001977,NC
30001989,FL
30001989,FL
30001995,TX
30001998,IA
30001998,IA
30001998,IA
30002001,CA
30002001,CA
30002001,CA
30002001,CA
30002022,NY
30002032,NC
30002032,NC
30002049,CA
30002049,CA
30002051,MI
30002051,MI
30002066,TX
30002066,TX
30002070,PA
30002093,CA
30002095,CA
30002097,MD
30002097,MD
30002098,CA
30002098,CA
30002106,CA
30002106,CA
30002106,CA
30002106,CA
30002106,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002153,CA
30002157,TX
30002157,TX
30002157,TX
30002157,TX
30002163,IL
30002163,IL
30002163,IL
30002163,IL
30002164,GA
30002164,GA
30002164,GA
30002202,CA
30002202,CA
30002202,CA
30002204,SC
30002206,SC
30002206,SC
30002235,WI
30002235,WI
30002236,PA
30002236,PA
30002236,PA
30002236,PA
30002242,VT
30002242,VT
30002242,VT
30002253,CA
30002254,CA
30002254,CA
30002268,CA
30002274,NY
