No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
1,-87.46200562,30.38968086,1,1,alabama,NA,-9,-9,1,-9,-9,-9,-9
2,-87.48493195,30.37249184,1,2,alabama,NA,-9,-9,1,-9,-9,-9,-9
3,-87.52503204,30.37249184,1,3,alabama,NA,-9,-9,1,-9,-9,-9,-9
4,-87.53076172,30.33238602,1,4,alabama,NA,-9,-9,1,-9,-9,-9,-9
5,-87.57086945,30.32665443,1,5,alabama,NA,-9,-9,1,-9,-9,-9,-9
6,-87.58805847,30.32665443,1,6,alabama,NA,-9,-9,1,-9,-9,-9,-9
7,-87.59378815,30.30946732,1,7,alabama,NA,-9,-9,1,-9,-9,-9,-9
8,-87.59378815,30.28654861,1,8,alabama,NA,-9,-9,1,-9,-9,-9,-9
9,-87.6740036,30.27508926,1,9,alabama,NA,-9,-9,1,-9,-9,-9,-9
10,-87.81151581,30.25790215,1,10,alabama,NA,-9,-9,1,-9,-9,-9,-9
11,-87.88026428,30.24644089,1,11,alabama,NA,-9,-9,1,-9,-9,-9,-9
12,-87.92037201,30.24644089,1,12,alabama,NA,-9,-9,1,-9,-9,-9,-9
13,-87.95475006,30.24644089,1,13,alabama,NA,-9,-9,1,-9,-9,-9,-9
14,-88.00631714,30.24071312,1,14,alabama,NA,-9,-9,1,-9,-9,-9,-9
15,-88.01777649,30.25217056,1,15,alabama,NA,-9,-9,1,-9,-9,-9,-9
16,-88.01204681,30.26935959,1,16,alabama,NA,-9,-9,1,-9,-9,-9,-9
17,-87.99485779,30.27508926,1,17,alabama,NA,-9,-9,1,-9,-9,-9,-9
18,-87.95475006,30.27508926,1,18,alabama,NA,-9,-9,1,-9,-9,-9,-9
19,-87.90318298,30.28082085,1,19,alabama,NA,-9,-9,1,-9,-9,-9,-9
20,-87.8286972,30.28654861,1,20,alabama,NA,-9,-9,1,-9,-9,-9,-9
21,-87.80005646,30.28654861,1,21,alabama,NA,-9,-9,1,-9,-9,-9,-9
22,-87.80005646,30.32665443,1,22,alabama,NA,-9,-9,1,-9,-9,-9,-9
23,-87.81723785,30.34384537,1,23,alabama,NA,-9,-9,1,-9,-9,-9,-9
24,-87.84015656,30.38395309,1,24,alabama,NA,-9,-9,1,-9,-9,-9,-9
